,Source.Name,trade_symbol,trade_interval,strategy,takeprofit,stoploss,entry_price,UTC_entry time,entry_time,close_price,close_time,win,win_percentage
195309,FTMUSDT_15m_orders.xlsx,FTMUSDT,15m,bearish_divergence,2,2.86,0.435253,31/03/2021 19:45,1617219899999,0.426506,1617219899999,1,2.0
99042,BTSUSDT_15m_orders.xlsx,BTSUSDT,15m,bearish_divergence,2,3.63,0.09175,31/03/2021 20:15,1617221699999,0.09728,1617223499999,0,-3.63
378211,SOLUSDT_15m_orders.xlsx,SOLUSDT,15m,bearish_divergence,2,1.72,19.5328,31/03/2021 21:30,1617226199999,20.3733,1617250499999,0,-1.72
226590,IOSTUSDT_15m_orders.xlsx,IOSTUSDT,15m,bearish_divergence,2,1.89,0.056273,01/04/2021 06:00,1617256799999,0.0576,1617267599999,0,-1.89
239740,KAVAUSDT_15m_orders.xlsx,KAVAUSDT,15m,bearish_divergence,2,4.31,7.1096,01/04/2021 19:15,1617304499999,6.96,1617324299999,1,2.0
273085,LTCUSDT_15m_orders.xlsx,LTCUSDT,15m,bearish_divergence,2,2.02,201.81,02/04/2021 01:00,1617325199999,207.43,1617329699999,0,-2.02
213544,HNTUSDT_15m_orders.xlsx,HNTUSDT,15m,bearish_divergence,2,2.42,13.6617,02/04/2021 02:30,1617330599999,14.4073,1617333299999,0,-2.42
408912,TOMOUSDT_15m_orders.xlsx,TOMOUSDT,15m,bearish_divergence,2,3.94,2.978,02/04/2021 04:30,1617337799999,2.895,1617363899999,1,2.0
418254,TRXUSDT_15m_orders.xlsx,TRXUSDT,15m,bearish_divergence,2,1.36,0.09036,02/04/2021 11:45,1617363899999,0.08821,1617365699999,1,2.0
7812,AAVEUSDT_15m_orders.xlsx,AAVEUSDT,15m,bearish_divergence,2,1.77,393.895,02/04/2021 12:15,1617365699999,401.165,1617367499999,0,-1.77
382875,SRMUSDT_15m_orders.xlsx,SRMUSDT,15m,bearish_divergence,2,2.88,5.6968,02/04/2021 13:15,1617369299999,5.8686,1617377399999,0,-2.88
382877,SRMUSDT_15m_orders.xlsx,SRMUSDT,15m,bearish_divergence,2,1.48,5.7818,02/04/2021 16:00,1617379199999,5.6036,1617390899999,1,2.0
435444,WAVESUSDT_15m_orders.xlsx,WAVESUSDT,15m,bearish_divergence,2,3.87,13.213,02/04/2021 19:15,1617390899999,12.9204,1617410699999,1,2.0
167750,ENJUSDT_15m_orders.xlsx,ENJUSDT,15m,bearish_divergence,2,2.13,2.53053,03/04/2021 01:00,1617411599999,2.465,1617415199999,1,2.0
282711,MATICUSDT_15m_orders.xlsx,MATICUSDT,15m,bearish_divergence,2,3.1,0.38759,03/04/2021 02:15,1617416099999,0.3721,1617439499999,1,2.0
213547,HNTUSDT_15m_orders.xlsx,HNTUSDT,15m,bearish_divergence,2,4.66,15.2002,03/04/2021 10:00,1617443999999,16.245,1617452099999,0,-4.66
418257,TRXUSDT_15m_orders.xlsx,TRXUSDT,15m,bearish_divergence,2,3.13,0.10217,03/04/2021 13:30,1617456599999,0.10766,1617457499999,0,-3.13
448482,XMRUSDT_15m_orders.xlsx,XMRUSDT,15m,bearish_divergence,2,1.17,264.83,03/04/2021 14:15,1617459299999,258.79,1617466499999,1,2.0
467564,ZECUSDT_15m_orders.xlsx,ZECUSDT,15m,bearish_divergence,2,2.67,169.8,03/04/2021 16:15,1617466499999,165.0,1617470999999,1,2.0
77871,BELUSDT_15m_orders.xlsx,BELUSDT,15m,bearish_divergence,2,5.15,5.1723,03/04/2021 21:15,1617484499999,4.98694,1617488099999,1,2.0
378222,SOLUSDT_15m_orders.xlsx,SOLUSDT,15m,bearish_divergence,2,2.55,23.2563,04/04/2021 02:00,1617501599999,22.6679,1617506099999,1,2.0
213552,HNTUSDT_15m_orders.xlsx,HNTUSDT,15m,bearish_divergence,2,4.04,17.6838,04/04/2021 06:15,1617516899999,17.3,1617537599999,1,2.0
413428,TRBUSDT_15m_orders.xlsx,TRBUSDT,15m,bearish_divergence,2,2.18,75.934,04/04/2021 13:45,1617543899999,77.726,1617551099999,0,-2.18
408918,TOMOUSDT_15m_orders.xlsx,TOMOUSDT,15m,bearish_divergence,2,2.65,3.1044,04/04/2021 15:45,1617551099999,3.2664,1617555599999,0,-2.65
189638,FLMUSDT_15m_orders.xlsx,FLMUSDT,15m,bearish_divergence,2,2.68,0.8504,04/04/2021 18:30,1617560999999,0.8294,1617564599999,1,2.0
7818,AAVEUSDT_15m_orders.xlsx,AAVEUSDT,15m,bearish_divergence,2,1.75,405.12,04/04/2021 19:30,1617564599999,396.5,1617585299999,1,2.0
328558,QTUMUSDT_15m_orders.xlsx,QTUMUSDT,15m,bearish_divergence,2,3.35,11.238,05/04/2021 04:00,1617595199999,10.941,1617599699999,1,2.0
476373,ZILUSDT_15m_orders.xlsx,ZILUSDT,15m,bearish_divergence,2,3.74,0.22027,05/04/2021 05:15,1617599699999,0.21464,1617602399999,1,2.0
147273,DENTUSDT_15m_orders.xlsx,DENTUSDT,15m,bearish_divergence,2,6.1,0.018333,05/04/2021 06:00,1617602399999,0.019776,1617605999999,0,-6.1
48490,AVAXUSDT_15m_orders.xlsx,AVAXUSDT,15m,bearish_divergence,2,3.58,30.4375,05/04/2021 08:30,1617611399999,31.6,1617616799999,0,-3.58
231445,IOTAUSDT_15m_orders.xlsx,IOTAUSDT,15m,bearish_divergence,2,1.81,1.7326,05/04/2021 12:00,1617623999999,1.7697,1617625799999,0,-1.81
422721,UNFIUSDT_15m_orders.xlsx,UNFIUSDT,15m,bearish_divergence,2,2.13,27.831,05/04/2021 13:15,1617628499999,27.207,1617644699999,1,2.0
99051,BTSUSDT_15m_orders.xlsx,BTSUSDT,15m,bearish_divergence,2,5.72,0.15121,05/04/2021 18:15,1617646499999,0.14773,1617647399999,1,2.0
366154,SFPUSDT_15m_orders.xlsx,SFPUSDT,15m,bearish_divergence,2,3.04,3.134,05/04/2021 18:30,1617647399999,3.0559,1617659099999,1,2.0
298540,NEOUSDT_15m_orders.xlsx,NEOUSDT,15m,bearish_divergence,2,2.02,57.608,05/04/2021 21:45,1617659099999,58.854,1617660899999,0,-2.02
4070,1INCHUSDT_15m_orders.xlsx,1INCHUSDT,15m,bearish_divergence,2,2.58,5.2708,05/04/2021 22:15,1617660899999,5.4369,1617668099999,0,-2.58
12279,ADAUSDT_15m_orders.xlsx,ADAUSDT,15m,bearish_divergence,2,1.77,1.2091,06/04/2021 00:30,1617668999999,1.244,1617713099999,0,-1.77
239747,KAVAUSDT_15m_orders.xlsx,KAVAUSDT,15m,bearish_divergence,2,3.76,7.8816,06/04/2021 12:45,1617713099999,7.668,1617717599999,1,2.0
77875,BELUSDT_15m_orders.xlsx,BELUSDT,15m,bearish_divergence,2,6.95,4.87425,06/04/2021 14:15,1617718499999,5.27671,1617781499999,0,-6.95
167757,ENJUSDT_15m_orders.xlsx,ENJUSDT,15m,bearish_divergence,2,4.02,2.67101,07/04/2021 23:00,1617836399999,2.61312,1617838199999,1,2.0
167758,ENJUSDT_15m_orders.xlsx,ENJUSDT,15m,bearish_divergence,2,6.94,2.69813,08/04/2021 00:30,1617841799999,2.62756,1617848999999,1,2.0
4078,1INCHUSDT_15m_orders.xlsx,1INCHUSDT,15m,bearish_divergence,2,4.7,6.2008,08/04/2021 08:45,1617871499999,6.0066,1617876899999,1,2.0
291029,MTLUSDT_15m_orders.xlsx,MTLUSDT,15m,bearish_divergence,2,6.02,4.9808,08/04/2021 12:45,1617885899999,4.8753,1617896699999,1,2.0
263722,LITUSDT_15m_orders.xlsx,LITUSDT,15m,bearish_divergence,2,2.4,10.41,08/04/2021 15:45,1617896699999,10.739,1617920999999,0,-2.4
366159,SFPUSDT_15m_orders.xlsx,SFPUSDT,15m,bearish_divergence,2,1.42,2.874,08/04/2021 23:30,1617924599999,2.9364,1617944399999,0,-1.42
366161,SFPUSDT_15m_orders.xlsx,SFPUSDT,15m,bearish_divergence,2,3.92,2.845,09/04/2021 06:00,1617947999999,2.9616,1617968699999,0,-3.92
382891,SRMUSDT_15m_orders.xlsx,SRMUSDT,15m,bearish_divergence,2,3.65,7.0333,09/04/2021 19:15,1617995699999,7.3311,1617999299999,0,-3.65
127237,CTKUSDT_15m_orders.xlsx,CTKUSDT,15m,bearish_divergence,2,3.27,3.52939,09/04/2021 20:15,1617999299999,3.45,1618015499999,1,2.0
458338,XTZUSDT_15m_orders.xlsx,XTZUSDT,15m,bearish_divergence,2,3.4,6.738,10/04/2021 00:45,1618015499999,7.18,1618020899999,0,-3.4
467582,ZECUSDT_15m_orders.xlsx,ZECUSDT,15m,bearish_divergence,2,2.09,206.37,10/04/2021 19:30,1618082999999,199.74,1618088399999,1,2.0
137781,DASHUSDT_15m_orders.xlsx,DASHUSDT,15m,bearish_divergence,2,3.12,278.35,10/04/2021 21:00,1618088399999,290.94,1618100999999,0,-3.12
177806,ETCUSDT_15m_orders.xlsx,ETCUSDT,15m,bearish_divergence,2,3.05,20.951,11/04/2021 05:15,1618118099999,20.527,1618123499999,1,2.0
273107,LTCUSDT_15m_orders.xlsx,LTCUSDT,15m,bearish_divergence,2,2.84,256.51,11/04/2021 07:00,1618124399999,250.6,1618147799999,1,2.0
163632,EGLDUSDT_15m_orders.xlsx,EGLDUSDT,15m,bearish_divergence,2,2.91,236.407,11/04/2021 13:45,1618148699999,231.225,1618151399999,1,2.0
373515,SNXUSDT_15m_orders.xlsx,SNXUSDT,15m,bearish_divergence,2,1.45,19.053,11/04/2021 17:00,1618160399999,19.379,1618165799999,0,-1.45
463313,YFIUSDT_15m_orders.xlsx,YFIUSDT,15m,bearish_divergence,2,1.46,46376.6,11/04/2021 19:30,1618169399999,45348.0,1618180199999,1,2.0
382897,SRMUSDT_15m_orders.xlsx,SRMUSDT,15m,bearish_divergence,2,3.35,7.9059,12/04/2021 00:15,1618186499999,8.254,1618186499999,0,-3.35
132733,CVCUSDT_15m_orders.xlsx,CVCUSDT,15m,bearish_divergence,2,6.39,0.63133,12/04/2021 00:45,1618188299999,0.6166,1618221599999,1,2.0
426292,UNIUSDT_15m_orders.xlsx,UNIUSDT,15m,bearish_divergence,2,2.17,33.6451,12/04/2021 12:45,1618231499999,35.1,1618242299999,0,-2.17
111977,CHZUSDT_15m_orders.xlsx,CHZUSDT,15m,bearish_divergence,2,5.71,0.48561,12/04/2021 15:45,1618242299999,0.51565,1618257599999,0,-5.71
418274,TRXUSDT_15m_orders.xlsx,TRXUSDT,15m,bearish_divergence,2,4.24,0.14993,13/04/2021 19:15,1618341299999,0.14635,1618342199999,1,2.0
472357,ZENUSDT_15m_orders.xlsx,ZENUSDT,15m,bearish_divergence,2,1.06,83.592,13/04/2021 20:15,1618344899999,84.767,1618345799999,0,-1.06
41060,ATOMUSDT_15m_orders.xlsx,ATOMUSDT,15m,bearish_divergence,2,1.71,24.559,13/04/2021 20:45,1618346699999,24.019,1618350299999,1,2.0
132736,CVCUSDT_15m_orders.xlsx,CVCUSDT,15m,bearish_divergence,2,3.61,0.68049,14/04/2021 00:15,1618359299999,0.70696,1618359299999,0,-3.61
476385,ZILUSDT_15m_orders.xlsx,ZILUSDT,15m,bearish_divergence,2,2.11,0.20268,14/04/2021 00:15,1618359299999,0.19832,1618390799999,1,2.0
4083,1INCHUSDT_15m_orders.xlsx,1INCHUSDT,15m,bearish_divergence,2,3.41,5.8239,14/04/2021 09:00,1618390799999,5.6809,1618392599999,1,2.0
226603,IOSTUSDT_15m_orders.xlsx,IOSTUSDT,15m,bearish_divergence,2,9.15,0.078296,14/04/2021 09:30,1618392599999,0.075428,1618392599999,1,2.0
163635,EGLDUSDT_15m_orders.xlsx,EGLDUSDT,15m,bearish_divergence,2,2.78,230.649,14/04/2021 13:00,1618405199999,239.0,1618408799999,0,-2.78
226604,IOSTUSDT_15m_orders.xlsx,IOSTUSDT,15m,bearish_divergence,2,8.67,0.083331,14/04/2021 14:00,1618408799999,0.077627,1618409699999,1,2.0
105783,CELRUSDT_15m_orders.xlsx,CELRUSDT,15m,bearish_divergence,2,2.52,0.07281,14/04/2021 20:30,1618432199999,0.07123,1618433999999,1,2.0
394434,SUSHIUSDT_15m_orders.xlsx,SUSHIUSDT,15m,bearish_divergence,2,2.96,17.3694,15/04/2021 01:00,1618448399999,18.5,1618458299999,0,-2.96
360823,SANDUSDT_15m_orders.xlsx,SANDUSDT,15m,bearish_divergence,2,1.04,0.6568,15/04/2021 04:30,1618460999999,0.66543,1618467299999,0,-1.04
147287,DENTUSDT_15m_orders.xlsx,DENTUSDT,15m,bearish_divergence,2,3.54,0.012559,15/04/2021 06:45,1618469099999,0.012223,1618475399999,1,2.0
463325,YFIUSDT_15m_orders.xlsx,YFIUSDT,15m,bearish_divergence,2,3.28,50674.2,15/04/2021 08:30,1618475399999,49594.4,1618482599999,1,2.0
63698,BANDUSDT_15m_orders.xlsx,BANDUSDT,15m,bearish_divergence,2,2.49,20.0172,15/04/2021 11:00,1618484399999,19.5662,1618485299999,1,2.0
390382,STORJUSDT_15m_orders.xlsx,STORJUSDT,15m,bearish_divergence,2,3.52,2.3001,15/04/2021 11:15,1618485299999,2.3947,1618493399999,0,-3.52
111985,CHZUSDT_15m_orders.xlsx,CHZUSDT,15m,bearish_divergence,2,5.49,0.54532,15/04/2021 13:30,1618493399999,0.53344,1618514999999,1,2.0
204125,GRTUSDT_15m_orders.xlsx,GRTUSDT,15m,bearish_divergence,2,2.83,2.13784,15/04/2021 19:30,1618514999999,2.09047,1618530299999,1,2.0
73431,BCHUSDT_15m_orders.xlsx,BCHUSDT,15m,bearish_divergence,2,1.82,862.06,15/04/2021 23:45,1618530299999,878.88,1618532099999,0,-1.82
231456,IOTAUSDT_15m_orders.xlsx,IOTAUSDT,15m,bearish_divergence,2,2.94,2.1819,16/04/2021 01:45,1618537499999,2.3395,1618544699999,0,-2.94
177814,ETCUSDT_15m_orders.xlsx,ETCUSDT,15m,bearish_divergence,2,5.48,31.578,16/04/2021 04:15,1618546499999,30.436,1618548299999,1,2.0
119546,COTIUSDT_15m_orders.xlsx,COTIUSDT,15m,bearish_divergence,2,6.28,0.3737,16/04/2021 05:00,1618549199999,0.36611,1618565399999,1,2.0
115155,COMPUSDT_15m_orders.xlsx,COMPUSDT,15m,bearish_divergence,2,7.7,566.63,16/04/2021 09:45,1618566299999,552.69,1618672499999,1,2.0
277501,MANAUSDT_15m_orders.xlsx,MANAUSDT,15m,bearish_divergence,2,9.12,1.4898,17/04/2021 15:15,1618672499999,1.43,1618672499999,1,2.0
16758,ALGOUSDT_15m_orders.xlsx,ALGOUSDT,15m,bearish_divergence,2,2.11,1.7523,17/04/2021 20:00,1618689599999,1.803,1618692299999,0,-2.11
16759,ALGOUSDT_15m_orders.xlsx,ALGOUSDT,15m,bearish_divergence,2,1.56,1.7749,17/04/2021 21:00,1618693199999,1.7321,1618695899999,1,2.0
269090,LRCUSDT_15m_orders.xlsx,LRCUSDT,15m,bearish_divergence,2,4.09,0.75348,17/04/2021 22:15,1618697699999,0.73838,1618703099999,1,2.0
335317,REEFUSDT_15m_orders.xlsx,REEFUSDT,15m,bearish_divergence,2,5.37,0.046318,17/04/2021 23:45,1618703099999,0.044309,1618705799999,1,2.0
378251,SOLUSDT_15m_orders.xlsx,SOLUSDT,15m,bearish_divergence,2,3.87,27.516,18/04/2021 17:45,1618767899999,29.2459,1618771499999,0,-3.87
258750,LINKUSDT_15m_orders.xlsx,LINKUSDT,15m,bearish_divergence,2,2.45,38.356,18/04/2021 21:30,1618781399999,39.565,1618786799999,0,-2.45
378255,SOLUSDT_15m_orders.xlsx,SOLUSDT,15m,bearish_divergence,2,4.64,34.3965,19/04/2021 20:15,1618863299999,33.5028,1618864199999,1,2.0
52590,AXSUSDT_15m_orders.xlsx,AXSUSDT,15m,bearish_divergence,2,7.91,10.37906,20/04/2021 09:45,1618911899999,10.157,1618912799999,1,2.0
7836,AAVEUSDT_15m_orders.xlsx,AAVEUSDT,15m,bearish_divergence,2,1.68,362.309,20/04/2021 14:30,1618928999999,354.07,1618929899999,1,2.0
408944,TOMOUSDT_15m_orders.xlsx,TOMOUSDT,15m,bearish_divergence,2,1.18,2.4392,20/04/2021 18:15,1618942499999,2.4801,1618942499999,0,-1.18
115159,COMPUSDT_15m_orders.xlsx,COMPUSDT,15m,bearish_divergence,2,1.34,492.2,20/04/2021 19:00,1618945199999,481.2,1618951499999,1,2.0
24118,ALPHAUSDT_15m_orders.xlsx,ALPHAUSDT,15m,bearish_divergence,2,2.24,1.33522,20/04/2021 20:45,1618951499999,1.30391,1618954199999,1,2.0
403148,THETAUSDT_15m_orders.xlsx,THETAUSDT,15m,bearish_divergence,2,3.68,11.7281,20/04/2021 22:45,1618958699999,12.2683,1618974899999,0,-3.68
403150,THETAUSDT_15m_orders.xlsx,THETAUSDT,15m,bearish_divergence,2,3.27,11.8666,21/04/2021 03:30,1618975799999,11.57,1618978499999,1,2.0
246414,KNCUSDT_15m_orders.xlsx,KNCUSDT,15m,bearish_divergence,2,3.02,3.117,21/04/2021 06:30,1618986599999,3.226,1618992899999,0,-3.02
24122,ALPHAUSDT_15m_orders.xlsx,ALPHAUSDT,15m,bearish_divergence,2,1.49,1.45346,21/04/2021 09:00,1618995599999,1.48,1618997399999,0,-1.49
111989,CHZUSDT_15m_orders.xlsx,CHZUSDT,15m,bearish_divergence,2,5.68,0.55109,21/04/2021 10:30,1619000999999,0.53938,1619001899999,1,2.0
435469,WAVESUSDT_15m_orders.xlsx,WAVESUSDT,15m,bearish_divergence,2,6.02,15.037,21/04/2021 12:45,1619009099999,14.71,1619023499999,1,2.0
282724,MATICUSDT_15m_orders.xlsx,MATICUSDT,15m,bearish_divergence,2,3.41,0.37011,21/04/2021 20:15,1619036099999,0.36158,1619043299999,1,2.0
24125,ALPHAUSDT_15m_orders.xlsx,ALPHAUSDT,15m,bearish_divergence,2,4.87,1.51729,22/04/2021 02:15,1619057699999,1.47801,1619063999999,1,2.0
282727,MATICUSDT_15m_orders.xlsx,MATICUSDT,15m,bearish_divergence,2,5.26,0.37885,22/04/2021 04:00,1619063999999,0.40637,1619067599999,0,-5.26
426307,UNIUSDT_15m_orders.xlsx,UNIUSDT,15m,bearish_divergence,2,3.36,36.0461,22/04/2021 05:30,1619069399999,37.3448,1619072999999,0,-3.36
182071,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bearish_divergence,2,1.8,2452.79,22/04/2021 08:15,1619079299999,2501.47,1619085599999,0,-1.8
127245,CTKUSDT_15m_orders.xlsx,CTKUSDT,15m,bearish_divergence,2,3.57,2.402,22/04/2021 13:45,1619099099999,2.513,1619101799999,0,-3.57
378258,SOLUSDT_15m_orders.xlsx,SOLUSDT,15m,bearish_divergence,2,6.44,38.174,22/04/2021 19:15,1619118899999,37.2696,1619119799999,1,2.0
286715,MKRUSDT_15m_orders.xlsx,MKRUSDT,15m,bearish_divergence,2,3.84,4122.92,23/04/2021 17:00,1619197199999,3998.0,1619198099999,1,2.0
27818,ANKRUSDT_15m_orders.xlsx,ANKRUSDT,15m,bearish_divergence,2,3.62,0.130837,23/04/2021 17:45,1619199899999,0.137596,1619208899999,0,-3.62
435472,WAVESUSDT_15m_orders.xlsx,WAVESUSDT,15m,bearish_divergence,2,4.56,15.0462,23/04/2021 20:45,1619210699999,14.606,1619215199999,1,2.0
41065,ATOMUSDT_15m_orders.xlsx,ATOMUSDT,15m,bearish_divergence,2,1.55,20.202,24/04/2021 00:15,1619223299999,19.714,1619224199999,1,2.0
68315,BATUSDT_15m_orders.xlsx,BATUSDT,15m,bearish_divergence,2,4.19,1.1287,24/04/2021 00:30,1619224199999,1.1022,1619225099999,1,2.0
115165,COMPUSDT_15m_orders.xlsx,COMPUSDT,15m,bearish_divergence,2,5.86,624.35,24/04/2021 01:30,1619227799999,599.53,1619230499999,1,2.0
443272,XLMUSDT_15m_orders.xlsx,XLMUSDT,15m,bearish_divergence,2,1.92,0.44674,24/04/2021 04:15,1619237699999,0.43704,1619246699999,1,2.0
387233,STMXUSDT_15m_orders.xlsx,STMXUSDT,15m,bearish_divergence,2,6.09,0.04583,24/04/2021 06:45,1619246699999,0.04457,1619248499999,1,2.0
448513,XMRUSDT_15m_orders.xlsx,XMRUSDT,15m,bearish_divergence,2,2.03,365.26,24/04/2021 10:00,1619258399999,373.64,1619258399999,0,-2.03
127250,CTKUSDT_15m_orders.xlsx,CTKUSDT,15m,bearish_divergence,2,5.05,2.368,24/04/2021 15:30,1619278199999,2.32,1619278199999,1,2.0
382919,SRMUSDT_15m_orders.xlsx,SRMUSDT,15m,bearish_divergence,2,5.56,5.9497,25/04/2021 04:00,1619323199999,6.3899,1619349299999,0,-5.56
294108,NEARUSDT_15m_orders.xlsx,NEARUSDT,15m,bearish_divergence,2,2.22,4.7591,25/04/2021 15:45,1619365499999,4.6573,1619374499999,1,2.0
378264,SOLUSDT_15m_orders.xlsx,SOLUSDT,15m,bearish_divergence,2,3.37,46.9213,26/04/2021 01:15,1619399699999,45.559,1619401499999,1,2.0
382922,SRMUSDT_15m_orders.xlsx,SRMUSDT,15m,bearish_divergence,2,3.74,7.6528,26/04/2021 02:45,1619405099999,7.9566,1619406899999,0,-3.74
366173,SFPUSDT_15m_orders.xlsx,SFPUSDT,15m,bearish_divergence,2,3.56,2.301,26/04/2021 03:30,1619407799999,2.252,1619421299999,1,2.0
24130,ALPHAUSDT_15m_orders.xlsx,ALPHAUSDT,15m,bearish_divergence,2,1.65,1.3179,26/04/2021 07:15,1619421299999,1.34229,1619431199999,0,-1.65
403156,THETAUSDT_15m_orders.xlsx,THETAUSDT,15m,bearish_divergence,2,3.7,10.7851,26/04/2021 10:45,1619433899999,11.2844,1619440199999,0,-3.7
21027,ALICEUSDT_15m_orders.xlsx,ALICEUSDT,15m,bearish_divergence,2,3.66,9.171,26/04/2021 12:30,1619440199999,8.859,1619442899999,1,2.0
105792,CELRUSDT_15m_orders.xlsx,CELRUSDT,15m,bearish_divergence,2,6.71,0.05366,26/04/2021 13:15,1619442899999,0.05756,1619447399999,0,-6.71
4099,1INCHUSDT_15m_orders.xlsx,1INCHUSDT,15m,bearish_divergence,2,1.59,4.4977,26/04/2021 19:15,1619464499999,4.3643,1619471699999,1,2.0
448518,XMRUSDT_15m_orders.xlsx,XMRUSDT,15m,bearish_divergence,2,2.41,400.1,27/04/2021 00:45,1619484299999,410.83,1619504999999,0,-2.41
286718,MKRUSDT_15m_orders.xlsx,MKRUSDT,15m,bearish_divergence,2,1.48,4310.22,27/04/2021 07:00,1619506799999,4383.52,1619507699999,0,-1.48
147299,DENTUSDT_15m_orders.xlsx,DENTUSDT,15m,bearish_divergence,2,4.18,0.012359,27/04/2021 07:30,1619508599999,0.011936,1619509499999,1,2.0
73444,BCHUSDT_15m_orders.xlsx,BCHUSDT,15m,bearish_divergence,2,1.12,863.25,27/04/2021 07:45,1619509499999,874.65,1619522099999,0,-1.12
342792,RLCUSDT_15m_orders.xlsx,RLCUSDT,15m,bearish_divergence,2,2.44,3.1804,27/04/2021 11:15,1619522099999,3.1135,1619528399999,1,2.0
58802,BALUSDT_15m_orders.xlsx,BALUSDT,15m,bearish_divergence,2,2.23,54.911,27/04/2021 13:00,1619528399999,61.304,1619542799999,0,-2.23
63715,BANDUSDT_15m_orders.xlsx,BANDUSDT,15m,bearish_divergence,2,4.26,16.6177,27/04/2021 17:15,1619543699999,16.2145,1619552699999,1,2.0
99073,BTSUSDT_15m_orders.xlsx,BTSUSDT,15m,bearish_divergence,2,3.65,0.11784,27/04/2021 19:45,1619552699999,0.12314,1619555399999,0,-3.65
220236,ICXUSDT_15m_orders.xlsx,ICXUSDT,15m,bearish_divergence,2,2.36,2.2847,27/04/2021 23:00,1619564399999,2.3431,1619568899999,0,-2.36
195352,FTMUSDT_15m_orders.xlsx,FTMUSDT,15m,bearish_divergence,2,2.47,0.52181,28/04/2021 01:00,1619571599999,0.55,1619574299999,0,-2.47
21035,ALICEUSDT_15m_orders.xlsx,ALICEUSDT,15m,bearish_divergence,2,6.32,11.896,28/04/2021 19:15,1619637299999,11.577,1619641799999,1,2.0
52596,AXSUSDT_15m_orders.xlsx,AXSUSDT,15m,bearish_divergence,2,7.33,10.159,29/04/2021 00:30,1619656199999,9.929,1619657099999,1,2.0
422757,UNFIUSDT_15m_orders.xlsx,UNFIUSDT,15m,bearish_divergence,2,4.26,26.469,29/04/2021 02:30,1619663399999,25.926,1619668799999,1,2.0
86491,BNBUSDT_15m_orders.xlsx,BNBUSDT,15m,bearish_divergence,2,1.59,565.846,29/04/2021 04:15,1619669699999,554.066,1619672399999,1,2.0
195357,FTMUSDT_15m_orders.xlsx,FTMUSDT,15m,bearish_divergence,2,4.88,0.692456,29/04/2021 07:15,1619680499999,0.675,1619684099999,1,2.0
220240,ICXUSDT_15m_orders.xlsx,ICXUSDT,15m,bearish_divergence,2,2.92,2.4068,29/04/2021 10:00,1619690399999,2.3574,1619695799999,1,2.0
349221,RSRUSDT_15m_orders.xlsx,RSRUSDT,15m,bearish_divergence,2,3.61,0.088372,29/04/2021 11:30,1619695799999,0.086346,1619702999999,1,2.0
77911,BELUSDT_15m_orders.xlsx,BELUSDT,15m,bearish_divergence,2,1.32,3.91409,29/04/2021 13:30,1619702999999,4.08712,1619709299999,0,-1.32
58807,BALUSDT_15m_orders.xlsx,BALUSDT,15m,bearish_divergence,2,5.15,59.28,29/04/2021 17:00,1619715599999,57.85,1619720099999,1,2.0
294116,NEARUSDT_15m_orders.xlsx,NEARUSDT,15m,bearish_divergence,2,2.58,5.4495,29/04/2021 21:00,1619729999999,5.64,1619737199999,0,-2.58
294117,NEARUSDT_15m_orders.xlsx,NEARUSDT,15m,bearish_divergence,2,1.28,5.5478,29/04/2021 23:45,1619739899999,5.4184,1619741699999,1,2.0
366176,SFPUSDT_15m_orders.xlsx,SFPUSDT,15m,bearish_divergence,2,3.68,2.564,30/04/2021 00:45,1619743499999,2.5123,1619765999999,1,2.0
137813,DASHUSDT_15m_orders.xlsx,DASHUSDT,15m,bearish_divergence,2,1.25,298.31,30/04/2021 07:30,1619767799999,302.41,1619773199999,0,-1.25
189677,FLMUSDT_15m_orders.xlsx,FLMUSDT,15m,bearish_divergence,2,1.46,0.7876,30/04/2021 09:30,1619774999999,0.807,1619788499999,0,-1.46
